config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LSTM-02-bi,LSTM,por_ticker,NVDA,C,60,61,3,0.1744,0.0,0.5231,0.1445,0.0,0.0909,0.3426,0.1713,0.2234,0.0,6.9,93.1,-0.4304,-1.1333,-1.832,-0.5583,0.44,0.7076
LSTM-02-bi,LSTM,por_ticker,TSLA,C,60,61,3,0.1818,0.5455,0.0,0.1423,0.4268,0.0,0.0,0.2134,0.2713,100.0,0.0,0.0,0.6927,0.0,1.1823,-0.2155,0.5372,1.2284
LSTM-02-bi,LSTM,por_ticker,AMZN,C,60,61,3,0.3567,0.4125,0.3529,0.3195,0.4,0.2222,0.3363,0.3681,0.3298,54.3,14.9,30.9,0.3109,0.1008,1.0838,-0.1577,0.5188,1.2448
LSTM-02-bi,LSTM,por_ticker,MSFT,C,60,61,3,0.3251,0.2,0.3529,0.3318,0.1017,0.5474,0.3465,0.2241,0.4096,2.7,56.9,40.4,-0.0963,-0.3787,-0.6833,-0.2374,0.4691,0.8125
LSTM-02-bi,LSTM,por_ticker,GOOGL,C,60,61,3,0.2222,0.2151,0.4516,0.2037,0.2697,0.0,0.3415,0.3056,0.25,16.5,0.0,83.5,-0.3679,-1.3716,-1.9325,-0.4667,0.4309,0.7125
LSTM-02-bi,LSTM,por_ticker,META,C,60,61,3,0.3947,0.4444,0.322,0.3099,0.2947,0.2521,0.3827,0.3387,0.3191,23.9,21.3,54.8,-0.0045,-0.1435,-0.0162,-0.3111,0.5,0.9963
LSTM-02-bi,LSTM,global,GLOBAL,C,60,61,3,0.3661,,,0.3517,0.3397,0.4329,0.2826,0.3112,0.3602,28.0,36.5,35.5,0.8742,-10.6577,0.3431,-0.548,0.4856,1.0851
LSTM-02-bi,LSTM,por_ticker,AAPL,B,60,61,3,0.2785,0.3281,0.0,0.351,0.3019,0.567,0.1842,0.243,0.4149,32.4,56.4,11.2,-0.1302,-0.3579,-0.6222,-0.3464,0.5366,0.8249
LSTM-02-bi,LSTM,por_ticker,NVDA,B,60,61,3,0.2973,0.1389,0.4865,0.3011,0.0377,0.5031,0.3625,0.2001,0.3777,1.6,35.1,63.3,-0.304,-1.0068,-1.2592,-0.4477,0.4508,0.7537
LSTM-02-bi,LSTM,por_ticker,TSLA,B,60,61,3,0.2618,0.5091,0.2222,0.2913,0.3529,0.2542,0.2667,0.3098,0.2979,54.3,13.8,31.9,-0.1339,-0.8266,-0.3348,-0.3979,0.4815,0.9391
LSTM-02-bi,LSTM,por_ticker,AMZN,B,60,61,3,0.2951,0.5048,0.1212,0.2493,0.4393,0.1837,0.125,0.2821,0.3191,85.6,9.6,4.8,0.3218,0.1118,1.1531,-0.1464,0.5588,1.2458
LSTM-02-bi,LSTM,por_ticker,MSFT,B,60,61,3,0.2568,0.0,0.4444,0.3153,0.0,0.5096,0.4364,0.2182,0.4043,0.0,39.4,60.6,-0.0981,-0.3805,-0.6602,-0.2296,0.4737,0.8457
LSTM-02-bi,LSTM,por_ticker,GOOGL,B,60,61,3,0.3285,0.2927,0.2957,0.4147,0.4386,0.5714,0.234,0.3363,0.4468,29.8,45.7,24.5,0.0315,-0.9722,0.1603,-0.2531,0.5098,1.0376
LSTM-02-bi,LSTM,por_ticker,META,B,60,61,3,0.3681,0.3226,0.3387,0.3006,0.2308,0.3378,0.3333,0.2821,0.3138,14.9,36.7,48.4,0.2543,0.1153,0.8312,-0.1904,0.5462,1.2397
LSTM-02-bi,LSTM,global,GLOBAL,B,60,61,3,0.3657,,,0.37,0.3013,0.5225,0.2861,0.2937,0.3997,24.0,47.1,28.9,1.1594,-10.3725,0.4327,-0.4064,0.4914,1.12
LSTM-01-stack,LSTM,por_ticker,AAPL,B,20,61,3,0.2993,0.3889,0.0278,0.3515,0.3206,0.5288,0.2051,0.2629,0.386,31.6,46.9,21.5,-0.3459,-0.549,-1.6012,-0.4549,0.4628,0.6444
LSTM-01-stack,LSTM,por_ticker,NVDA,B,20,61,3,0.2636,0.0,0.472,0.3149,0.0606,0.5146,0.3696,0.2151,0.3904,2.2,39.9,57.9,0.0196,-0.5885,0.053,-0.4121,0.4672,1.0121
LSTM-01-stack,LSTM,por_ticker,TSLA,B,20,61,3,0.1842,0.524,0.0286,0.1425,0.4276,0.0,0.0,0.2138,0.2719,99.1,0.0,0.9,0.0088,-0.1756,0.0152,-0.5182,0.5044,1.0026
LSTM-01-stack,LSTM,por_ticker,AMZN,B,20,61,3,0.4019,0.4179,0.2353,0.3406,0.375,0.48,0.1667,0.2708,0.3772,42.1,48.2,9.6,0.1645,0.1851,0.6018,-0.2782,0.5,1.1585
LSTM-01-stack,LSTM,por_ticker,MSFT,B,20,61,3,0.3161,0.1882,0.3275,0.3668,0.186,0.5217,0.3926,0.2893,0.4123,10.5,47.4,42.1,0.1131,-0.0819,0.5824,-0.1878,0.4667,1.1626
LSTM-01-stack,LSTM,por_ticker,GOOGL,B,20,61,3,0.3203,0.2787,0.2336,0.3722,0.3636,0.5957,0.1573,0.2605,0.443,27.6,61.8,10.5,0.067,-0.4987,0.3199,-0.2217,0.4943,1.0895
LSTM-01-stack,LSTM,por_ticker,META,B,20,61,3,0.3053,0.1795,0.1573,0.3623,0.3048,0.562,0.2202,0.2625,0.4211,18.4,66.7,14.9,-0.2001,-0.158,-0.8458,-0.2053,0.5,0.7706
LSTM-01-stack,LSTM,global,GLOBAL,B,20,61,3,0.3253,,,0.3602,0.3733,0.5626,0.1447,0.259,0.4217,37.1,53.9,9.0,0.6841,-2.338,0.2445,-0.551,0.5116,1.0695
LSTM-01-stack,LSTM,por_ticker,AAPL,B,60,61,3,0.3003,0.4337,0.0,0.3,0.3973,0.5029,0.0,0.1986,0.3883,53.7,46.3,0.0,0.2252,-0.0025,0.8902,-0.2299,0.5941,1.2858
LSTM-01-stack,LSTM,por_ticker,NVDA,B,60,61,3,0.2882,0.0,0.5024,0.3024,0.0,0.5871,0.32,0.16,0.4202,0.0,55.3,44.7,-0.2507,-0.9536,-1.1113,-0.3859,0.4524,0.7336
LSTM-01-stack,LSTM,por_ticker,TSLA,B,60,61,3,0.2657,0.5506,0.2466,0.188,0.4306,0.0,0.1333,0.282,0.266,84.0,0.0,16.0,0.1869,-0.5058,0.3839,-0.4128,0.5053,1.069
LSTM-01-stack,LSTM,por_ticker,AMZN,B,60,61,3,0.3606,0.4337,0.2051,0.343,0.4524,0.4,0.1765,0.3144,0.383,61.2,31.9,6.9,0.5545,0.3445,2.0029,-0.1464,0.5547,1.5574
LSTM-01-stack,LSTM,por_ticker,MSFT,B,60,61,3,0.3446,0.2532,0.3333,0.3263,0.1143,0.5426,0.322,0.2182,0.3936,8.5,55.9,35.6,-0.0723,-0.3546,-0.5013,-0.1961,0.3735,0.8613
LSTM-01-stack,LSTM,por_ticker,GOOGL,B,60,61,3,0.31,0.1944,0.3262,0.3247,0.1867,0.6154,0.172,0.1794,0.4202,9.0,67.0,23.9,-0.2898,-1.2935,-2.014,-0.358,0.371,0.5425
LSTM-01-stack,LSTM,por_ticker,META,B,60,61,3,0.4006,0.274,0.375,0.2811,0.0,0.4795,0.3636,0.1818,0.367,0.5,48.9,50.5,-0.1964,-0.3354,-0.8116,-0.4363,0.4583,0.7987
LSTM-01-stack,LSTM,global,GLOBAL,B,60,61,3,0.3447,,,0.351,0.3554,0.5568,0.1407,0.2481,0.4202,34.6,56.7,8.7,2.0404,-9.4915,0.6648,-0.4009,0.5263,1.2151
LSTM-02-bi,LSTM,por_ticker,AAPL,B,20,61,3,0.3031,0.2628,0.1553,0.383,0.3063,0.5571,0.2857,0.296,0.4211,22.8,51.8,25.4,-0.1019,-0.305,-0.4217,-0.2862,0.4909,0.8883
LSTM-02-bi,LSTM,por_ticker,AMZN,B,20,61,3,0.3322,0.3158,0.2185,0.3352,0.4043,0.3855,0.2157,0.31,0.3553,54.4,33.3,12.3,0.3476,0.3682,1.133,-0.2931,0.5395,1.28
LSTM-02-bi,LSTM,por_ticker,GOOGL,B,20,61,3,0.3283,0.427,0.1136,0.3867,0.4497,0.6038,0.1067,0.2782,0.4649,43.9,51.8,4.4,0.0421,-0.5237,0.1805,-0.2231,0.5182,1.0436
LSTM-02-bi,LSTM,por_ticker,META,B,20,61,3,0.3408,0.1772,0.3034,0.3458,0.1842,0.4409,0.4124,0.2983,0.386,5.7,42.1,52.2,0.3474,0.3896,0.9251,-0.2981,0.5076,1.2629
LSTM-02-bi,LSTM,global,GLOBAL,B,20,61,3,0.3323,0.3484,0.1492,0.3617,0.3347,0.563,0.1872,0.261,0.4154,32.2,54.8,13.0,-0.2465,-3.2686,-0.1352,-0.5569,0.4945,0.9637
LSTM-02-bi,LSTM,por_ticker,MSFT,B,20,61,3,0.27,0.0769,0.381,0.3527,0.1389,0.4835,0.4356,0.2873,0.4079,4.4,36.4,59.2,0.1053,-0.0897,0.5283,-0.2196,0.4621,1.133
LSTM-02-bi,LSTM,por_ticker,NVDA,B,20,61,3,0.3036,0.2178,0.2388,0.3278,0.0988,0.6347,0.25,0.1744,0.4518,8.8,68.4,22.8,-0.2418,-0.8498,-0.8465,-0.3277,0.4444,0.7707
LSTM-02-bi,LSTM,por_ticker,TSLA,B,20,61,3,0.2337,0.5215,0.1558,0.2318,0.4247,0.1695,0.1013,0.263,0.3026,85.5,7.9,6.6,-0.0043,-0.1887,-0.0075,-0.4979,0.519,0.9987
