config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-02-bi,CNN-LSTM,por_ticker,AAPL,B,20,66,3,0.3189,0.3665,0.2459,0.3067,0.3133,0.2897,0.3172,0.3152,0.307,46.9,19.3,33.8,-0.2317,-0.4348,-0.9526,-0.357,0.5054,0.8041
CNN-02-bi,CNN-LSTM,por_ticker,NVDA,B,20,66,3,0.3128,0.1935,0.3057,0.3564,0.2245,0.6047,0.24,0.2322,0.443,16.2,62.7,21.1,-0.0969,-0.7049,-0.3014,-0.313,0.4941,0.9176
CNN-02-bi,CNN-LSTM,por_ticker,TSLA,B,20,66,3,0.3749,0.4718,0.3404,0.3199,0.2973,0.3399,0.3226,0.3099,0.3202,36.8,23.2,39.9,-0.3255,-0.5099,-0.7398,-0.5569,0.4686,0.8639
CNN-02-bi,CNN-LSTM,por_ticker,AMZN,B,20,66,3,0.3719,0.3704,0.2526,0.3463,0.4111,0.4706,0.1573,0.2842,0.386,50.9,42.5,6.6,0.2187,0.2393,0.762,-0.2823,0.5038,1.1928
CNN-02-bi,CNN-LSTM,por_ticker,MSFT,B,20,66,3,0.2767,0.0,0.4059,0.3146,0.0,0.4706,0.4732,0.2366,0.4079,0.0,31.1,68.9,-0.0425,-0.2375,-0.2262,-0.231,0.4586,0.9501
CNN-02-bi,CNN-LSTM,por_ticker,GOOGL,B,20,66,3,0.2569,0.2456,0.0,0.3305,0.3651,0.6264,0.0,0.1825,0.4649,25.0,75.0,0.0,0.0448,-0.521,0.2506,-0.1782,0.5088,1.0829
CNN-02-bi,CNN-LSTM,por_ticker,META,B,20,66,3,0.2611,0.1194,0.102,0.376,0.3168,0.5401,0.2712,0.294,0.4211,16.7,64.5,18.9,0.1175,0.1596,0.4003,-0.1529,0.5185,1.1332
CNN-02-bi,CNN-LSTM,global,GLOBAL,B,20,66,3,0.3179,,,0.3003,0.09,0.3825,0.4284,0.2592,0.3578,4.3,28.6,67.1,-0.378,-3.4001,-0.2018,-0.6732,0.4904,0.956
CNN-04-multikernel,CNN-LSTM,por_ticker,AAPL,B,20,66,3,0.3455,0.3832,0.1802,0.3199,0.2677,0.369,0.323,0.2953,0.3246,29.8,29.4,40.8,-0.2733,-0.4764,-1.1724,-0.3931,0.472,0.7508
CNN-04-multikernel,CNN-LSTM,por_ticker,NVDA,B,20,66,3,0.2138,0.1379,0.0,0.309,0.1053,0.636,0.1856,0.1454,0.4518,6.6,73.7,19.7,0.0467,-0.5613,0.1452,-0.2983,0.4167,1.0504
CNN-04-multikernel,CNN-LSTM,por_ticker,TSLA,B,20,66,3,0.2827,0.4945,0.1839,0.3565,0.4308,0.3841,0.2545,0.3427,0.3728,57.5,22.4,20.2,0.0813,-0.1031,0.1445,-0.3442,0.4915,1.0285
CNN-04-multikernel,CNN-LSTM,por_ticker,AMZN,B,20,66,3,0.4658,0.4603,0.3333,0.4094,0.3803,0.4671,0.381,0.3806,0.4123,34.2,33.8,32.0,0.0795,0.1001,0.2698,-0.2008,0.5232,1.0601
CNN-04-multikernel,CNN-LSTM,por_ticker,MSFT,B,20,66,3,0.3467,0.3423,0.1474,0.3224,0.3217,0.5135,0.1319,0.2268,0.3772,35.5,53.9,10.5,-0.0957,-0.2908,-0.566,-0.1667,0.5143,0.8524
CNN-04-multikernel,CNN-LSTM,por_ticker,GOOGL,B,20,66,3,0.294,0.3827,0.0674,0.3263,0.3741,0.6048,0.0,0.1871,0.443,30.7,67.5,1.8,-0.0639,-0.6297,-0.3311,-0.2215,0.4865,0.9092
CNN-04-multikernel,CNN-LSTM,por_ticker,META,B,20,66,3,0.2839,0.0,0.3587,0.2689,0.0,0.3613,0.4454,0.2227,0.3553,0.0,28.5,71.5,0.0106,0.0527,0.0318,-0.3683,0.4847,1.0073
CNN-04-multikernel,CNN-LSTM,global,GLOBAL,B,20,66,3,0.3048,,,0.3374,0.0589,0.5721,0.3811,0.22,0.4311,2.1,59.3,38.6,-0.229,-3.2512,-0.1252,-0.5446,0.49,0.9643
CNN-05-focal,CNN-LSTM,por_ticker,AAPL,B,20,66,3,0.3202,0.2149,0.3294,0.3342,0.2549,0.3399,0.408,0.3314,0.3509,18.9,22.8,58.3,0.1919,-0.0111,0.6371,-0.1917,0.5057,1.1598
CNN-05-focal,CNN-LSTM,por_ticker,NVDA,B,20,66,3,0.2625,0.0,0.4519,0.3195,0.0,0.5792,0.3793,0.1897,0.4254,0.0,46.5,53.5,-0.1851,-0.7931,-0.566,-0.3852,0.4754,0.8746
CNN-05-focal,CNN-LSTM,por_ticker,TSLA,B,20,66,3,0.2843,0.487,0.366,0.2384,0.3776,0.0,0.3375,0.3575,0.2807,57.9,0.0,42.1,-0.0122,-0.1966,-0.0213,-0.6047,0.4868,0.9964
CNN-05-focal,CNN-LSTM,por_ticker,AMZN,B,20,66,3,0.3929,0.3636,0.403,0.331,0.4082,0.3586,0.2261,0.3171,0.3465,57.9,24.1,18.0,0.0529,0.0735,0.1787,-0.2946,0.4971,1.0372
CNN-05-focal,CNN-LSTM,por_ticker,MSFT,B,20,66,3,0.2008,0.1463,0.4561,0.231,0.1127,0.1111,0.4693,0.291,0.3289,3.9,3.9,92.1,-0.0599,-0.255,-0.2965,-0.3281,0.4749,0.9445
CNN-05-focal,CNN-LSTM,por_ticker,GOOGL,B,20,66,3,0.3412,0.455,0.2393,0.3508,0.4311,0.4457,0.1754,0.3033,0.3728,43.0,35.5,21.5,-0.1791,-0.7448,-0.8065,-0.2602,0.4626,0.842
CNN-05-focal,CNN-LSTM,por_ticker,META,B,20,66,3,0.3309,0.3438,0.3814,0.2666,0.2963,0.0943,0.4093,0.3528,0.3026,31.6,7.0,61.4,-0.0311,0.011,-0.0921,-0.1845,0.4764,0.9819
CNN-05-focal,CNN-LSTM,global,GLOBAL,B,20,66,3,0.2967,,,0.2755,0.0956,0.2869,0.4439,0.2698,0.3402,5.1,16.2,78.7,-0.5286,-3.5507,-0.3046,-0.7222,0.4824,0.9396
CNN-01-base,CNN-LSTM,por_ticker,AAPL,B,20,66,3,0.3072,0.3765,0.0851,0.332,0.2787,0.386,0.3313,0.305,0.3377,27.6,30.7,41.7,-0.2344,-0.4374,-0.9824,-0.3767,0.481,0.7853
CNN-01-base,CNN-LSTM,por_ticker,NVDA,B,20,66,3,0.2371,0.0,0.4237,0.2637,0.0606,0.3743,0.3562,0.2084,0.3202,2.2,24.6,73.2,-0.0222,-0.6302,-0.0588,-0.4025,0.4651,0.988
